Brand,Nicchia,Descrizione,Website,Instagram,Email,Canale_consigliato,Verificato,Fonte
La Calathea,Candele,Candele artigianali in cera di soia e home fragrance (Castellarano RE),lacalathea.it,@lacalathea.products,info@lacalathea.it,Email,EMAIL+IG VERIFICATI,web+contact page
Distilleria Urbana,Spirits,Amari alle erbe e liquori artigianali (Firenze),distilleriaurbana.it,verificare,info@distilleriaurbana.it,Email,EMAIL VERIFICATA,web+contact page
Mr. Liquor,Spirits,Liquori e gin artigianali 100% botanici toscani,mrliquor.it,verificare,info@mrliquor.it,Email,EMAIL VERIFICATA,web+home
Old Kombucha,Food/Fermentati,Kombucha biologico crudo Made in Italy,oldkombucha.com,verificare,sales@oldkombucha.com,Email,EMAIL VERIFICATA (sales@),web+contact page
Terza Luna,Food/Fermentati,Kombucha artigianale Fervere (Bari/Trani),terzaluna.com,@terza_luna,verificare (form/cloudflare),IG DM,IG VERIFICATO,web+contact page
Quello Sbagliato,Candele/Profumi,Candele colate a mano + profumi di nicchia + skincare (Mogliano Veneto),quellosbagliato.com,verificare,verificare (form),IG DM,BRAND VERIFICATO,web
Accendila Candle,Candele,Candele 100% Made in Italy by Biga Communication (Treviso),accendilacandle.it,verificare,verificare (form),IG DM,BRAND VERIFICATO,web
Officina delle Essenze,Candele/Profumi,Candele artigianali e profumi per ambiente Made in Italy,officinadelleessenze.com,verificare,verificare,IG DM,BRAND VERIFICATO,web
Heart & Home,Candele,Candele in cera di soia e profumatori d'ambiente,heartandhome.it,verificare,verificare,IG DM,BRAND VERIFICATO,web
LabSolue,Profumi/Candele,Perfume laboratory + candele artigianali colate a mano,labsolueperfume.com,verificare,verificare,IG DM,BRAND VERIFICATO,web
Amaro Zerotrenta,Spirits,Amari e gin artigianali a freddo (Brescia),amarozerotrenta.it,verificare,verificare (form),IG DM,BRAND VERIFICATO,web
Rossi d'Angera,Spirits,Liquori e amari artigianali italiani (Varese),rossidangera.it,verificare,verificare (form),IG DM,BRAND VERIFICATO,web
Gotha Spiriti Nobili,Spirits,Distillati/spiriti artigianali produzione limitata,verificare,verificare,verificare,IG DM,DA VERIFICARE,web (via Pedrelli)
Horda Brand,Streetwear,Streetwear Made in Italy t-shirt/hoodie community-driven,hordabrand.com,verificare,verificare (form/chat),IG DM,BRAND VERIFICATO,web
Stolen,Streetwear,Streetwear emergente giovane grafiche audaci,verificare,verificare,verificare,IG DM,DA VERIFICARE,web (Stylight)
40TerraceStudio,Streetwear,Streetwear essenziale palette raffinata grafica tribale,verificare,verificare,verificare,IG DM,DA VERIFICARE,web (Stylight)
Mediterranea Jewels,Gioielli,Gioielli Made in Italy di Raissa Russi (Vicenza),mediterraneajewels.com,verificare,verificare,IG DM,BRAND VERIFICATO,web
Gala Rotelli,Gioielli,Gioielli fragile beauty 3D + oreficeria italiana (dal 2015),verificare,verificare,verificare,IG DM,DA VERIFICARE,web (The Italian Reve)
Peekaboo!,Gioielli,Gioielli in alluminio riciclato tecnica crochet (Torino),verificare,verificare,verificare,IG DM,DA VERIFICARE,web (A Milano Puoi)
IF Jewellery,Gioielli,Gioielli 100% Made in Italy di Ilaria Fiorentini,verificare,verificare,verificare,IG DM,DA VERIFICARE,web
Jamais Sans Toi,Gioielli,Lab gioielli contemporanei ceramica/pelle/metallo (Torino),verificare,verificare,verificare,IG DM,DA VERIFICARE,web
Lil Milan,Gioielli,Gioielli minimal oro 9/18kt handmade (~84k IG),verificare,verificare,verificare,IG DM,DA VERIFICARE,web
Adesso,Beauty,Skincare essenziale 3 sorelle Sangalli (Milano/Parigi),verificare,verificare,verificare,IG DM,DA VERIFICARE,web (Primpy)
Myevooskin,Beauty,Cosmetica a base olio EVO 100% naturale Made in Italy,verificare,verificare,verificare,IG DM,DA VERIFICARE,web
Darling,Beauty,Suncare design/glamour (Modena dal 2018) — forte fit visivo,verificare,verificare,verificare,IG DM,DA VERIFICARE,web
Iuva,Beauty,Skincare da bucce d'uva Barbera del Monferrato (upcycling),verificare,verificare,verificare,IG DM,DA VERIFICARE,web
Simone Andreoli,Profumi,Profumeria di nicchia — il fondatore è il naso,verificare,verificare,verificare,IG DM,DA VERIFICARE,web (Osmotique)
Laboratorio Olfattivo,Profumi,Profumeria artistica italiana di nicchia,verificare,verificare,verificare,IG DM,DA VERIFICARE,web
TBD Eyewear,Eyewear,Occhiali design Milano fatti a mano in Italia sostenibili,tbdeyewear.com,verificare,verificare,IG DM,BRAND VERIFICATO,web
FrankLo Eyewear,Eyewear,Occhiali artigianali di design fatti a mano in Italia,franklo.it,verificare,verificare,IG DM,BRAND VERIFICATO,web
